Date,Sales,Rank,Price
15/10/2022,185,2,605
24/01/2022,128,6,650
16/01/2022,118,8,627.1
11/01/2022,105,12,625
28/12/2021,101,15,545
22/12/2021,95,20,545
15/12/2021,92,23,545
04/12/2021,86,28,540
25/12/2021,79,33,545
18/11/2021,75,37,650
19/11/2021,72,39,650
14/11/2021,68,42,646.84
07/11/2021,66,44,625
12/11/2021,62,47,640.6
06/11/2021,58,51,612.76
05/11/2021,57,54,600.54
03/11/2021,57,56,576.1
31/10/2021,55,60,539.44
25/10/2021,54,64,515
21/10/2021,52,69,515
23/10/2021,51,72,515
25/04/2022,50,75,599
19/12/2020,51,78,582.28
14/12/2020,50,80,584.93
15/12/2020,49,83,584.4
08/12/2020,41,85,588.11
02/11/2021,46,87,563.88
02/12/2020,39,95,591.29
18/11/2020,39,100,595
22/11/2020,40,106,595
17/10/2021,41,110,515
27/07/2021,41,112,376.26
23/11/2020,41,115,595
21/11/2020,39,117,595
17/11/2020,39,120,595
22/03/2022,39,124,266
16/10/2021,38,128,511
30/11/2020,39,131,592.35
10/07/2022,38,137,755
01/08/2021,47,139,583.92
15/10/2021,36,143,507
13/10/2021,36,147,499
14/10/2021,35,149,503
02/08/2021,37,151,587.59
21/06/2022,44,158,773.9
02/05/2021,42,160,565
28/07/2021,34,162,378.52
03/06/2021,44,167,573.07
13/07/2022,28,173,796.77
17/05/2022,39,179,708.14
18/05/2021,15,182,545.73
23/05/2022,30,189,265
22/06/2022,34,197,781.6
11/11/2022,28,207,408
27/10/2022,34,209,830
12/07/2022,36,213,798.85
24/05/2022,27,217,265
23/03/2022,27,224,266
29/07/2021,27,226,380.78
23/06/2022,29,234,789.3
12/11/2022,26,240,374
19/05/2022,27,248,706.9
04/05/2021,25,250,580.77
03/05/2021,34,256,581.92
28/05/2022,25,259,265
05/11/2022,25,263,306
26/06/2022,24,268,812.4
09/12/2021,24,273,286
27/05/2022,24,280,265
04/11/2022,23,287,306
13/11/2022,23,289,340
14/11/2022,23,294,306
14/10/2022,22,301,306
07/05/2022,22,304,265
03/11/2022,22,307,306
06/11/2022,22,310,306
03/07/2022,19,317,810.5
11/10/2022,21,322,306
21/03/2022,21,325,266
10/10/2022,21,327,306
26/03/2022,21,329,266
30/07/2021,20,333,383.04
16/07/2022,20,337,330
09/11/2022,20,345,306
31/10/2022,19,350,374
17/07/2022,19,354,336
06/08/2022,19,356,357
05/08/2022,19,359,344.25
07/06/2021,24,363,575.92
10/07/2022,18,370,408
07/08/2022,18,372,369.75
01/11/2022,18,374,340
09/08/2022,18,376,395.25
28/06/2022,18,378,394.4
13/07/2022,17,380,312
31/07/2021,17,383,385.3
20/05/2022,17,386,265
26/06/2022,17,388,380.8
08/08/2022,17,390,382.5
09/10/2022,17,394,306
02/11/2022,16,397,306
23/07/2021,16,399,374
15/07/2022,16,405,324
10/08/2022,16,409,408
24/06/2022,16,414,367.2
30/10/2022,16,416,357
26/05/2022,16,420,265
25/06/2022,16,423,374
22/06/2022,16,429,353.6
20/07/2022,16,431,354
18/06/2022,16,433,326.4
29/10/2022,16,435,340
03/03/2022,15,438,358.16
25/05/2022,15,441,265
21/07/2022,15,445,360
19/07/2021,15,448,377.84
29/07/2022,15,450,408
06/05/2022,15,452,265
26/12/2021,15,454,344.86
05/03/2022,15,456,347.92
12/07/2022,15,458,306
25/12/2021,15,460,335.05
19/06/2022,15,463,333.2
12/03/2021,15,467,167.88
29/03/2021,15,471,168.44
17/05/2021,19,474,549.06
22/07/2022,15,477,366
10/10/2021,15,479,333.2
02/03/2022,15,482,363.28
28/10/2022,14,485,323
12/03/2022,14,487,312.08
11/07/2022,14,489,357
19/03/2022,14,496,276.24
11/08/2022,14,498,399.5
05/02/2021,13,501,171.09
02/03/2021,14,503,171.25
05/10/2021,14,507,316.2
10/08/2021,14,509,408
18/03/2022,14,511,281.36
28/07/2022,14,513,402
24/08/2022,14,517,306
09/08/2021,14,519,405.64
27/07/2022,14,522,396
09/03/2022,14,525,327.44
08/03/2022,14,527,332.56
06/10/2021,14,529,319.6
03/08/2022,14,531,318.75
