Date,Sales,Rank,Price
14/10/2020,59,13,529
13/10/2020,42,16,528
28/09/2020,40,28,542.24
12/09/2020,51,31,536.69
16/09/2020,44,38,535.37
26/09/2020,42,44,540.62
05/09/2020,42,50,539
23/10/2020,38,57,538.86
27/10/2020,36,63,502.49
27/11/2020,36,68,542.48
20/11/2020,33,70,534.5
24/11/2020,31,81,525
29/11/2020,32,88,538
06/12/2020,31,92,572.19
10/12/2020,31,104,566.07
18/12/2020,30,108,553.83
26/12/2020,29,115,541.59
13/12/2020,31,118,561.48
20/12/2020,29,122,550.77
29/12/2020,29,130,537
03/01/2021,28,135,601.16
08/01/2021,26,143,594.51
17/03/2021,27,146,569.53
22/02/2021,24,150,574
04/02/2021,23,158,584
05/02/2021,25,165,589.13
31/01/2021,25,172,594
03/02/2021,23,180,588.61
25/01/2021,22,186,594.95
17/01/2021,23,194,598.55
06/02/2021,24,218,584
07/02/2021,21,220,597.03
18/08/2021,22,226,582.95
28/10/2021,22,230,533.09
01/12/2021,19,234,576.21
05/12/2021,20,238,581.55
02/12/2021,21,244,577.96
11/04/2022,20,248,570.68
31/10/2021,18,258,545
27/11/2021,22,261,569.21
06/04/2022,18,269,588.5
10/04/2022,20,271,575.01
30/11/2021,19,277,574.46
29/10/2021,21,279,549
23/03/2022,17,293,584.4
28/11/2021,20,295,570.96
29/11/2021,19,302,572.71
28/04/2021,18,305,562.3
23/12/2021,18,311,537.57
09/05/2021,18,315,579.5
13/05/2021,18,321,588.24
29/04/2021,18,322,564.2
08/02/2022,18,327,523.85
29/01/2022,18,333,527.25
06/05/2021,17,335,574
25/12/2021,17,337,534.71
07/05/2021,17,340,575
07/06/2021,17,346,545.68
10/05/2021,17,350,583
03/05/2021,17,354,571
01/05/2021,17,357,568
08/06/2021,17,359,544.02
07/02/2022,17,363,524.19
17/01/2022,16,373,567.23
02/02/2022,16,378,525.89
05/05/2021,16,381,573
12/03/2022,16,384,544.4
21/01/2022,16,386,510.85
04/05/2021,16,393,572
11/06/2021,15,400,539
20/04/2022,15,405,499.5
14/03/2022,15,412,545.3
23/04/2022,15,415,498
22/03/2022,15,418,549
19/04/2022,15,423,500
16/03/2022,15,426,546.2
13/01/2022,15,428,539
20/01/2022,15,432,540.86
18/01/2022,15,441,568.85
19/03/2022,15,455,547.55
26/04/2022,14,461,496.5
08/04/2022,14,464,521.33
01/04/2022,14,466,518
28/04/2022,14,471,495.5
09/04/2022,14,476,521.67
10/04/2022,14,480,519.37
29/03/2022,14,484,533.75
18/03/2022,14,492,547.1
17/03/2022,14,493,546.65
29/04/2022,14,496,495
31/03/2022,14,500,523.25
14/01/2021,14,503,448.57
28/09/2021,16,509,431.57
14/09/2020,13,512,381.7
22/01/2021,18,518,457.74
18/02/2021,16,520,432.88
10/06/2022,15,523,448.64
11/09/2021,13,527,749.8
25/03/2021,15,534,713.05
13/09/2020,13,538,382.53
10/01/2021,12,539,449.09
06/09/2020,15,542,388.34
03/09/2021,10,546,420.5
01/06/2021,15,551,665
10/09/2021,13,559,750
23/09/2021,15,563,432.22
09/10/2021,9,572,430
12/09/2020,12,579,383.36
10/09/2020,13,583,385.02
23/09/2020,13,586,378.81
07/09/2020,13,588,387.51
08/09/2020,13,591,386.68
14/11/2020,11,597,408.31
08/02/2021,11,604,434.25
23/01/2021,14,606,463.87
11/09/2020,13,619,384.19
16/01/2021,13,623,448.31
24/09/2020,13,626,382.62
09/01/2021,11,629,449.22
12/11/2020,13,636,441.59
11/12/2020,9,637,422.33
04/10/2021,10,649,430.79
18/02/2022,12,652,699
09/12/2021,10,656,717
16/11/2020,11,660,375
12/12/2020,12,661,424.66
05/02/2021,13,668,435
13/11/2020,12,670,424.95
29/09/2021,14,672,431.44
07/12/2020,10,679,427.48
10/07/2021,12,686,431.63
17/01/2021,12,689,448.18
10/09/2021,10,699,436.6
04/12/2021,10,701,691.17
05/10/2021,12,710,430.66
01/05/2021,14,713,716.7
26/02/2022,9,716,711.56
29/11/2021,12,723,675.32
23/02/2021,10,730,845.72
25/04/2022,10,733,667.17
06/12/2020,11,738,429.94
08/12/2021,11,742,700.5
21/11/2020,9,747,391
05/02/2022,9,750,704.6
30/09/2021,11,753,431.31
01/03/2022,9,760,716.27
03/12/2021,11,762,698.33
19/02/2022,12,767,700.57
28/01/2022,9,769,743.83
08/12/2020,11,774,425.02
01/02/2022,9,775,699
27/04/2022,10,782,791
26/11/2020,11,785,454.54
17/07/2021,9,787,170.2
02/02/2022,10,796,700.4
30/11/2021,11,800,685.64
10/12/2020,10,802,420
28/11/2020,9,808,449.62
05/03/2022,10,813,722.55
07/02/2022,9,823,707.4
06/12/2021,10,824,750
18/11/2020,11,826,416
15/02/2021,9,828,432.97
27/11/2020,10,831,452.08
25/01/2022,9,835,744.84
17/12/2021,9,836,672.93
31/01/2021,11,839,452.97
04/12/2020,9,841,434.86
28/02/2022,9,845,714.7
24/01/2022,9,849,744.92
13/09/2021,9,855,437
19/11/2020,9,860,375
27/01/2022,9,864,744.66
11/12/2021,11,865,750
21/02/2022,9,868,703.71
05/08/2020,4,872,461
24/02/2022,12,879,708.42
23/01/2022,8,885,745
04/01/2021,8,899,449.87
24/11/2020,9,904,437.66
04/02/2022,8,908,703.2
23/11/2020,10,911,418.33
06/03/2022,9,913,724.12
11/03/2022,7,919,731.97
30/01/2022,9,923,728.34
26/05/2021,9,934,899
20/11/2020,9,940,383
09/02/2022,9,944,710.2
07/06/2022,9,949,530
05/01/2021,9,954,449.74
12/03/2022,9,959,733.54
12/05/2022,9,964,733.11
15/02/2022,8,970,718.6
18/04/2021,9,975,170
28/12/2021,8,986,684
29/12/2020,8,988,452.86
19/01/2022,8,993,710.55
08/09/2021,8,996,432
26/01/2021,10,998,450.12
22/01/2022,8,999,728.4
