Date,Sales,Rank,Price
29/09/2022,84,9,189
10/10/2021,78,11,193.5
02/07/2021,73,16,222
12/06/2021,70,19,243
27/05/2021,68,21,247.51
21/01/2021,64,25,199.17
09/05/2021,61,28,237.6
29/01/2021,58,31,221.5
21/11/2020,53,36,232.42
22/11/2020,50,38,231.99
08/12/2020,47,41,226.74
09/12/2020,44,44,226.56
03/02/2021,42,46,238.36
15/11/2020,40,48,235
26/03/2022,44,64,65.96
14/11/2020,34,67,252.01
27/03/2022,41,80,65.8
01/04/2021,29,83,240
05/04/2021,28,98,245.32
06/04/2021,36,102,246.65
05/03/2021,29,104,248.69
07/04/2021,36,108,247.98
06/05/2021,34,112,250.7
07/03/2021,36,115,251.37
07/04/2022,34,118,64
05/05/2021,25,124,250.75
07/02/2021,34,127,237
07/05/2021,35,131,250.65
02/04/2022,33,133,64.84
11/04/2022,32,135,68.4
10/04/2022,32,138,67.3
21/05/2021,28,141,249.95
14/04/2022,31,144,71.7
03/04/2022,31,150,64.68
08/04/2021,35,153,249.31
21/03/2021,26,159,242.55
02/04/2021,40,165,241.33
23/05/2021,28,167,249.85
31/03/2021,20,169,213
20/05/2021,25,174,250
22/05/2021,32,177,249.9
25/05/2021,28,179,249.75
03/05/2022,28,182,58.72
19/03/2022,27,186,67.08
08/05/2021,33,188,250.6
08/01/2021,34,190,245
28/05/2021,25,196,249.6
20/03/2021,25,200,243.18
21/04/2021,28,203,251.45
09/04/2021,31,205,250.64
27/05/2021,26,207,249.65
09/05/2021,27,209,250.55
11/04/2021,25,213,251.95
27/04/2021,24,216,251.15
12/04/2021,25,219,251.9
29/05/2021,26,221,249.55
25/04/2021,25,223,251.25
19/03/2021,24,225,243.81
30/05/2021,25,228,249.5
10/05/2021,25,230,250.5
26/04/2021,25,234,251.2
12/05/2021,24,236,250.4
16/05/2021,23,242,250.2
30/04/2021,25,247,251
17/05/2021,24,251,250.15
16/03/2021,23,253,245.7
13/05/2021,24,256,250.35
01/05/2021,24,259,250.95
27/02/2021,24,261,240
13/04/2021,25,263,251.85
24/03/2021,25,265,240.66
03/02/2021,23,267,233.8
15/05/2021,22,270,250.25
25/03/2021,23,272,240
15/03/2021,23,276,246.33
13/01/2021,22,279,247.5
26/03/2021,23,281,235.5
27/03/2021,22,283,231
14/05/2021,23,286,250.3
27/12/2020,22,289,242.4
04/08/2021,16,292,232
13/03/2021,23,295,247.59
20/01/2021,21,297,251
01/03/2021,23,299,245.12
12/01/2021,23,301,247
24/12/2020,24,305,246
17/08/2021,16,307,232
01/06/2021,22,309,249.4
17/01/2021,22,311,249.5
07/05/2022,21,313,252
24/08/2021,16,315,232
04/07/2022,21,319,252
09/02/2021,25,321,238.6
29/03/2021,21,323,222
04/06/2021,20,325,249.25
29/05/2022,20,328,252
10/06/2021,20,330,248.95
17/12/2020,18,332,250.26
09/06/2021,19,335,249
11/06/2021,20,338,248.9
01/02/2021,23,343,232.2
28/09/2022,20,345,252
05/06/2021,20,348,249.2
25/08/2021,21,350,242
01/01/2021,22,353,241.5
29/12/2020,21,355,240
26/11/2020,20,358,240.39
08/06/2021,17,363,249.05
30/03/2022,19,365,241.12
18/08/2021,21,367,252
27/11/2020,19,369,240.78
27/06/2022,19,372,252
14/12/2020,19,374,247.77
03/07/2021,18,376,247.8
13/10/2022,18,380,252
02/07/2021,18,382,247.85
22/06/2022,18,384,252
07/04/2022,18,387,243.46
27/08/2021,17,390,250.4
25/05/2022,18,393,252
03/08/2022,17,396,252
26/08/2021,19,399,252
02/01/2021,19,401,242
12/06/2021,20,403,248.85
15/12/2020,18,407,248.6
13/11/2020,17,411,230
02/10/2021,17,413,240
05/08/2021,22,415,252
10/10/2022,17,418,252
20/08/2021,18,421,245.34
06/07/2021,17,425,247.65
18/11/2020,18,428,230
12/11/2020,17,432,230
13/08/2022,17,435,252
28/08/2021,18,437,248.8
27/07/2021,16,441,246.6
07/12/2020,15,443,246.01
08/08/2021,17,445,247.02
01/08/2021,17,448,246.35
06/08/2021,17,451,250.34
14/09/2021,16,454,243.42
12/09/2021,16,456,244.74
26/07/2021,16,459,246.65
17/07/2021,16,462,247.1
13/09/2021,16,465,244.08
21/08/2021,17,468,242.01
21/06/2021,15,470,248.4
19/06/2021,17,472,248.5
08/09/2021,15,474,247.38
13/08/2021,16,477,238.72
10/09/2021,16,479,246.06
09/09/2021,16,482,246.72
09/08/2021,17,485,245.36
10/11/2020,16,488,230
02/06/2022,16,491,252
15/09/2021,16,493,242.76
14/06/2021,16,495,248.75
15/08/2021,16,497,235.4
22/06/2021,16,499,248.35
25/07/2021,15,503,246.7
14/08/2021,16,507,237.06
04/10/2021,15,509,240.92
15/06/2021,16,511,248.7
22/08/2021,16,513,238.68
19/07/2021,17,515,247
22/07/2021,15,520,246.85
12/07/2021,16,523,247.35
31/12/2021,15,525,223.56
17/10/2021,15,527,246.9
06/09/2021,13,529,248.7
07/09/2021,15,533,248.04
24/07/2021,16,536,246.75
26/05/2022,15,540,252
27/05/2022,15,543,252
