Date,Sales,Rank,Price
13/08/2020,111,4,653
14/08/2020,92,7,653
15/10/2020,82,10,436
17/08/2020,79,13,644
14/10/2020,76,17,438
10/10/2020,72,21,448
01/11/2020,69,25,436
13/10/2020,67,27,441
17/12/2020,65,30,489
18/01/2021,62,33,507
16/01/2021,59,37,519
07/12/2020,57,39,487
19/01/2021,55,41,501
12/12/2020,53,44,505
07/11/2020,50,47,447
08/11/2020,49,49,447
20/12/2020,48,51,495
05/12/2020,47,55,503
18/11/2020,45,60,475
02/12/2020,44,64,499
21/11/2020,44,67,497
13/11/2020,43,71,446
24/12/2020,42,73,518
01/12/2020,41,78,479
26/11/2020,40,81,479
18/04/2021,40,83,1386
03/07/2022,40,85,1400
25/04/2021,39,87,1363
07/07/2022,39,89,1400
05/07/2022,38,92,1400
20/04/2021,37,97,1380
01/07/2022,36,100,1400
26/04/2021,35,105,1360
22/04/2021,35,108,1373
07/04/2022,35,114,1399
25/12/2020,34,116,518
23/04/2021,34,120,1370
10/07/2021,34,122,131
19/10/2021,33,128,133
19/04/2022,33,131,536
30/04/2021,32,134,1347
13/07/2022,32,136,1400
14/04/2021,32,139,1399
09/05/2021,32,141,1325
11/04/2021,32,143,1408
15/04/2021,31,148,1396
12/07/2022,31,150,1400
28/04/2021,31,152,1354
16/04/2021,30,156,1392
13/12/2021,30,158,1393
01/05/2021,30,161,1344
29/04/2021,29,164,1351
09/04/2021,29,166,1415
03/05/2021,29,172,1338
09/07/2022,28,174,1400
09/01/2021,28,176,509
18/11/2021,28,179,1365
02/05/2021,28,183,1341
29/11/2021,27,187,1377
07/11/2021,27,189,1387
30/03/2021,27,192,1260
04/05/2021,26,196,1335
10/07/2022,26,199,1400
23/11/2021,26,203,1370
04/12/2021,25,210,1383
11/11/2021,25,215,1378
15/11/2021,25,218,1368
05/04/2021,25,220,1428
07/01/2021,25,222,513
15/10/2021,25,226,131
03/10/2021,25,230,136
13/03/2021,24,233,110
16/10/2021,24,236,131.5
29/10/2021,24,239,129.2
08/01/2021,24,242,511
09/11/2021,24,250,212
14/07/2022,23,254,1400
27/10/2021,23,257,1381
19/10/2021,23,261,1357
03/04/2021,23,267,1434
22/10/2021,23,274,1366
31/10/2021,22,278,1393
14/10/2021,22,281,1342
29/10/2021,22,283,1387
07/12/2021,22,287,225.46
01/12/2021,22,290,231.29
20/11/2021,22,295,233.37
23/10/2021,22,298,1369
02/04/2021,21,306,1437
05/07/2022,21,313,138.98
10/10/2021,21,318,1400
