Amazon_URL,ASIN,Flipkart_URL,PID,LID,Marketplace,static
www.amazon.in/dp/B01N0WEEYP,B01N0WEEYP,,,,,
www.amazon.in/dp/B014SZORQA,B014SZORQA,https://www.flipkart.com/duracell-ultra-alkaline-aaa-4-pcs-battery/p/itm09fb3ea7a87b8?pid=ACCFDGYT5EBKJH9J&lid=LSTACCFDGYT5EBKJH9JH57PJ6&marketplace=GROCERY&q=Duracell+Ultra+Alkaline+AAA+Battery%2C+4+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=57c72e49-d56f-4b6d-ab15-607a5123f956.ACCFDGYT5EBKJH9J.SEARCH&ppt=sp&ppn=sp&ssid=au0pmlpzxc0000001644900157286&qH=ec3fc39090e18dd3,ACCFDGYT5EBKJH9J,LSTACCFDGYT5EBKJH9JH57PJ6,GROCERY,https://www.flipkart.com/duracell-ultra-alkaline-aaa-4-pcs-battery/p/itm09fb3ea7a87b8
www.amazon.in/dp/B094MVCG8R,B094MVCG8R,https://www.flipkart.com/duracell-ultra-alkaline-aa-battery/p/itm64993cb617d8f?pid=ACCG466UT5NDNWU8&lid=LSTACCG466UT5NDNWU87AGEWU&marketplace=FLIPKART&q=Duracell+Ultra+Alkaline+AA+Battery%2C+20+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=8d713fc5-e340-4b68-a73d-e4eefb0e96c1.ACCG466UT5NDNWU8.SEARCH&ppt=sp&ppn=sp&ssid=ntt68z7jgg0000001644900204671&qH=9b182b897cddca42,ACCG466UT5NDNWU8,LSTACCG466UT5NDNWU87AGEWU,FLIPKART,https://www.flipkart.com/duracell-ultra-alkaline-aa-battery/p/itm64993cb617d8f
www.amazon.in/dp/B07Y24GN3H,B07Y24GN3H,https://www.flipkart.com/energizer-primary-alkaline-batteries-max-3a-battery/p/itm080385affbbe2?pid=ACCG2EZ2NG3FFZAX&lid=LSTACCG2EZ2NG3FFZAXJQFEEX&marketplace=GROCERY&q=Energizer+Max+Alkaline+AAA+Batteries+-+Pack+of+6&store=tyy%2F4mr%2Fw65&spotlightTagId=BestsellerId_tyy%2F4mr%2Fw65&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=dd01af43-4e52-4bd2-beed-fd9b2bc7796a.ACCG2EZ2NG3FFZAX.SEARCH&ppt=sp&ppn=sp&ssid=9v2o5zlv0g0000001644900255222&qH=4e45a673220a59ed,ACCG2EZ2NG3FFZAX,LSTACCG2EZ2NG3FFZAXJQFEEX,GROCERY,https://www.flipkart.com/energizer-primary-alkaline-batteries-max-3a-battery/p/itm080385affbbe2
www.amazon.in/dp/B07GN8ZYZR,B07GN8ZYZR,https://www.flipkart.com/duracell-cr2032-coin-cell-1-battery/p/itm5fd50723e3f13?pid=ACCFZY8YCNY4UT8V&lid=LSTACCFZY8YCNY4UT8VYV7UQL&marketplace=FLIPKART&q=Duracell+-+2032+3V+Lithium+Coin+Battery+-+Long+Lasting+Battery+-+1+Count&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=42b676cf-b12e-466e-8849-f70ef410e9db.ACCFZY8YCNY4UT8V.SEARCH&ppt=sp&ppn=sp&ssid=be8gr4ougw0000001644900429452&qH=fe3f357309d83371,ACCFZY8YCNY4UT8V,LSTACCFZY8YCNY4UT8VYV7UQL,FLIPKART,https://www.flipkart.com/duracell-cr2032-coin-cell-1-battery/p/itm5fd50723e3f13
www.amazon.in/dp/B00KE5NTLS,B00KE5NTLS,,,,,
www.amazon.in/dp/B014SZO90Y,B014SZO90Y,https://www.flipkart.com/duracell-ultra-alkaline-aa-battery/p/itm49c5f62299aaa?pid=ACCFDGYTQXJGGKNU&lid=LSTACCFDGYTQXJGGKNUU84XR3&marketplace=FLIPKART&q=Duracell+Ultra+Alkaline+AA+Battery%2C+8+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=adb26016-5c18-4661-a020-d8f69cad53c6.ACCFDGYTQXJGGKNU.SEARCH&ppt=sp&ppn=sp&ssid=lzhesdzly80000001644900558917&qH=1c2d272348144b81,ACCFDGYTQXJGGKNU,LSTACCFDGYTQXJGGKNUU84XR3,FLIPKART,https://www.flipkart.com/duracell-ultra-alkaline-aa-battery/p/itm49c5f62299aaa
www.amazon.in/dp/B078PPCFC2,B078PPCFC2,,,,,
www.amazon.in/dp/B012AU6PWY,B012AU6PWY,https://www.flipkart.com/duracell-ultra-alkaline-aa-6-pcs-battery/p/itmb57848284df53?pid=ACCFDGYTTFWTYYJP&lid=LSTACCFDGYTTFWTYYJPAAMUZA&marketplace=GROCERY&q=Duracell+Ultra+Alkaline+AA+Battery%2C+6+Pieces&store=tyy%2F4mr%2Fw65&spotlightTagId=BestvalueId_tyy%2F4mr%2Fw65&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=e81c1326-b18b-4fcd-9325-8de777260f70.ACCFDGYTTFWTYYJP.SEARCH&ppt=sp&ppn=sp&ssid=djj4u6dnsg0000001644900655320&qH=b90896f7080eedcc,ACCFDGYTTFWTYYJP,LSTACCFDGYTTFWTYYJPAAMUZA,GROCERY,https://www.flipkart.com/duracell-ultra-alkaline-aa-6-pcs-battery/p/itmb57848284df53
www.amazon.in/dp/B0774P9G4W,B0774P9G4W,,,,,
www.amazon.in/dp/B00005T3DV,B00005T3DV,,,,,
www.amazon.in/dp/B09689JGC4,B09689JGC4,https://www.flipkart.com/duracell-alkaline-aa-chhota-power-battery/p/itmb0b28e2792c4a?pid=ACCG467H6HDAH2F7&lid=LSTACCG467H6HDAH2F7TJHS1I&marketplace=FLIPKART&q=Duracell+Alkaline+AA+Battery+Chhota+Power%2C+8+Pcs&store=tyy%2F4mr%2Fw65&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=48f95f15-5743-47e2-83a3-c56ad725cd68.ACCG467H6HDAH2F7.SEARCH&ppt=sp&ppn=sp&ssid=y2dio3n2j40000001644900921217&qH=4acb98913b069ea8,ACCG467H6HDAH2F7,LSTACCG467H6HDAH2F7TJHS1I,FLIPKART,https://www.flipkart.com/duracell-alkaline-aa-chhota-power-battery/p/itmb0b28e2792c4a
www.amazon.in/dp/B08W9ZYYHS,B08W9ZYYHS,https://www.flipkart.com/panasonic-lr6egdg-1b6-battery/p/itm1cf7117753892?pid=ACCGYZBUP7HQZ2CY&lid=LSTACCGYZBUP7HQZ2CYYOVTC9&marketplace=GROCERY&q=Panasonic+EVOLTA+Alkaline+AA+Battery%2C+Pack+of+6&store=tyy%2F4mr%2Fw65&srno=s_1_14&otracker=search&otracker1=search&fm=Search&iid=41001d53-fc0a-4e25-98ee-48fcbb70eb37.ACCGYZBUP7HQZ2CY.SEARCH&ppt=sp&ppn=sp&ssid=cnzwdjp43k0000001644901046862&qH=417f69060a0ea452,ACCGYZBUP7HQZ2CY,LSTACCGYZBUP7HQZ2CYYOVTC9,GROCERY,https://www.flipkart.com/panasonic-lr6egdg-1b6-battery/p/itm1cf7117753892
www.amazon.in/dp/B00003IEMD,B00003IEMD,https://www.flipkart.com/energizer-aa-lithium121-battery/p/itmbf1ff1f0a49ea?pid=ACCFTGC5QHKQBG3C&lid=LSTACCFTGC5QHKQBG3CYFZY0X&marketplace=FLIPKART&q=Energizer+AA+Lithium+Batteries+2+Pack&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=4d69afe0-47f1-4069-a900-2523b6f7dc20.ACCFTGC5QHKQBG3C.SEARCH&ppt=sp&ppn=sp&ssid=f79rdjyjfk0000001644901147284&qH=af529e612798d244,ACCFTGC5QHKQBG3C,LSTACCFTGC5QHKQBG3CYFZY0X,FLIPKART,https://www.flipkart.com/energizer-aa-lithium121-battery/p/itmbf1ff1f0a49ea
www.amazon.in/dp/B00JHKSL28,B00JHKSL28,https://www.flipkart.com/panasonic-eneloop-pro-battery/p/itmestsz4w43bhfg?pid=ACCESTSZFSSCT7GQ&lid=LSTACCESTSZFSSCT7GQNXMTCY&marketplace=GROCERY&q=Panasonic+eneloop+pro+AA+Rechargeable+Battery%2C+Pack+of+4&store=tyy%2F4mr%2Fw65&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=11ac3214-e431-45c6-970e-75b656705c7b.ACCESTSZFSSCT7GQ.SEARCH&ppt=sp&ppn=sp&ssid=ed4u5jef340000001644901253571&qH=7756889495d7363c,ACCESTSZFSSCT7GQ,LSTACCESTSZFSSCT7GQNXMTCY,GROCERY,https://www.flipkart.com/panasonic-eneloop-pro-battery/p/itmestsz4w43bhfg
www.amazon.in/dp/B00M1G1I5W,B00M1G1I5W,https://www.flipkart.com/panasonic-cr-1616-battery/p/itm238f8b8ca9e58?pid=ACCG4AGT2WVZSN2V&lid=LSTACCG4AGT2WVZSN2VUCUUQX&marketplace=FLIPKART&q=Panasonic+Lithium+Coin+Battery+CR1616%2C+Pack+of+5&store=tyy%2F4mr%2Fw65&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=2f294354-c145-4029-b871-9f00183b71a1.ACCG4AGT2WVZSN2V.SEARCH&ppt=sp&ppn=sp&ssid=r0pae11bao0000001644901295992&qH=ddaf24cd3ec4e898,ACCG4AGT2WVZSN2V,LSTACCG4AGT2WVZSN2VUCUUQX,FLIPKART,https://www.flipkart.com/panasonic-cr-1616-battery/p/itm238f8b8ca9e58
www.amazon.in/dp/B00MH4QM1S,B00MH4QM1S,,,,,
www.amazon.in/dp/B07PX9ZD2P,B07PX9ZD2P,https://www.flipkart.com/energizer-alkaline-batteries-size-aaaa-1-5-v-blister-pack-2-battery/p/itm0d2cbb18198ff?pid=ACCFP9HRZ9HXSFUD&lid=LSTACCFP9HRZ9HXSFUDXAOJJ9&marketplace=FLIPKART&q=Energizer+E96BP+AAAA+Alkaline+Battery+%28Pack+of+2%29&store=tyy%2F4mr%2Fw65&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=605763b1-113e-4291-8e2a-8c427e37d611.ACCFP9HRZ9HXSFUD.SEARCH&ppt=sp&ppn=sp&ssid=7ljtb6k2tc0000001644901449517&qH=63c4392de500cc41,ACCFP9HRZ9HXSFUD,LSTACCFP9HRZ9HXSFUDXAOJJ9,FLIPKART,https://www.flipkart.com/energizer-alkaline-batteries-size-aaaa-1-5-v-blister-pack-2-battery/p/itm0d2cbb18198ff
