ASIN,url,Flipkart_URL
B07C6CSF6K,https://www.amazon.in/dp/B07C6CSF6K,https://www.flipkart.com/havells-bt5100c-runtime-45-min-trimmer-men/p/itm866d3eec2e83c?pid=TMRFTP789SDQ5HGF&lid=LSTTMRFTP789SDQ5HGFV2RTZZ&marketplace=FLIPKART&q=Havells+BT5100C&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=c1f18b21-a049-40a3-8a4c-ff9cbcb155db.TMRFTP789SDQ5HGF.SEARCH&ppt=sp&ppn=sp&ssid=6eox7077m80000001642663319988&qH=55eb1c737a5e827a
B089MLVZZC,https://www.amazon.in/dp/B089MLVZZC,https://www.flipkart.com/havells-fd5000-shaver-women/p/itm969b5c4f22b88?pid=SHVFTGHMHHWBF7CF&lid=LSTSHVFTGHMHHWBF7CF08UMHI&marketplace=FLIPKART&q=Havells+FD5000&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=145c149d-cec0-420c-97e4-3460bf1bacf4.SHVFTGHMHHWBF7CF.SEARCH&ppt=sp&ppn=sp&ssid=tqpur3dwlc0000001642663447320&qH=3bc0f0a82d85b328
B079QJW5CW,https://www.amazon.in/dp/B079QJW5CW,https://www.flipkart.com/havells-5-in-1multi-styling-kit-hc4045-hair-straightener/p/itm595926e11c723?pid=HSTFECPGQ7HBCKKH&lid=LSTHSTFECPGQ7HBCKKHH7KSBV&marketplace=FLIPKART&q=Havells+HC4045&store=zlw%2F79s&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=f1df09c0-f073-462e-af01-d829382f0dfa.HSTFECPGQ7HBCKKH.SEARCH&ppt=sp&ppn=sp&ssid=thnjrgr5o00000001642663567918&qH=3106cbe0487daf6f
B01N33BLDT,https://www.amazon.in/dp/B01N33BLDT,https://www.flipkart.com/havells-hd3151-hair-dryer/p/itmeqtf29rfz8phu?pid=HDREQTF2NKKMPYTE&lid=LSTHDREQTF2NKKMPYTECX56H7&marketplace=FLIPKART&q=Havells+HD3151+&store=zlw%2F79s%2Fmh8&spotlightTagId=BestsellerId_zlw%2F79s%2Fmh8&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=9d2dc0f5-137c-431c-ad1a-d9b80976b017.HDREQTF2NKKMPYTE.SEARCH&ppt=sp&ppn=sp&ssid=snmovcmamo0000001642663658242&qH=aab72b5cedd88321
B07W3HJDRH,https://www.amazon.in/dp/B07W3HJDRH,https://www.flipkart.com/havells-bt9005-runtime-90-min-trimmer-men/p/itm7ea7ccd6d84a8?pid=SHVFJ22VCTKHAWGU&lid=LSTSHVFJ22VCTKHAWGUXRZKBH&marketplace=FLIPKART&q=Havells+BT9005&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=6df9230a-6f6a-408a-bb37-5f9395e1ae30.SHVFJ22VCTKHAWGU.SEARCH&ppt=sp&ppn=sp&ssid=rzmwrcjo8g0000001642663735451&qH=9e811cde04bb738d
B08519FDLH,https://www.amazon.in/dp/B08519FDLH,https://www.flipkart.com/havells-hd3162-hair-dryer/p/itm0155a20cec689?pid=HDRFP77FVBHXGZNW&lid=LSTHDRFP77FVBHXGZNWTNKH1O&marketplace=FLIPKART&q=Havells+HD3162&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=41ab2394-92e5-4df4-a115-47d320a265fd.HDRFP77FVBHXGZNW.SEARCH&ppt=sp&ppn=sp&ssid=dhwagbujwg0000001642663801976&qH=6a07eab371e6f514
B08Y9C5H38,https://www.amazon.in/dp/B08Y9C5H38,https://www.flipkart.com/havells-hc-4085-hair-dryer/p/itm50e8b155f8f0e?pid=HDRGFF5TUDANAGK4&lid=LSTHDRGFF5TUDANAGK4HX2NGQ&marketplace=FLIPKART&q=Havells+HC4085&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=6787618f-2c1c-4972-af4b-bd1899d68684.HDRGFF5TUDANAGK4.SEARCH&ppt=sp&ppn=sp&ssid=ybdou2htts0000001642663910392&qH=a7e0c3ab585247c0
B07PPLD2G2,https://www.amazon.in/dp/B07PPLD2G2,https://www.flipkart.com/havells-callus-remover-cr4001-pink/p/itm0d8c4acfd0cb6?pid=FFLFK6YDQ6WXKDVG&lid=LSTFFLFK6YDQ6WXKDVGSXAOOO&marketplace=FLIPKART&q=Havells+CR4001&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=a2a2c781-8bbd-48ea-b8bb-8f9e724f2c00.FFLFK6YDQ6WXKDVG.SEARCH&ppt=sp&ppn=sp&ssid=jtnigl8ei80000001642664022862&qH=be567f9ab01b7d94
B071WRNFRY,https://www.amazon.in/dp/B071WRNFRY,https://www.flipkart.com/havells-hs4101-hair-straightener/p/itmcd8e004024a10?pid=HSTEUG3HXVHDWNZX&lid=LSTHSTEUG3HXVHDWNZXJXNLQU&marketplace=FLIPKART&q=Havells+HS4101&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=4bc4ecb1-0f4f-4b4f-adcc-f919bbe7b165.HSTEUG3HXVHDWNZX.SEARCH&ppt=sp&ppn=sp&ssid=ox806h25rk0000001642664074889&qH=a5322294c6550f38
B01N7RXANB,https://www.amazon.in/dp/B01N7RXANB,https://www.flipkart.com/havells-bt6201-runtime-90-min-trimmer-men/p/itmfe909ad1b4ca8?pid=SHVEQSKYJW5BKQ6S&lid=LSTSHVEQSKYJW5BKQ6SNNUHYF&marketplace=FLIPKART&q=Havells+BT6201&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=44cfce7f-8641-437a-a7a7-67d64ac6ead2.SHVEQSKYJW5BKQ6S.SEARCH&ppt=sp&ppn=sp&ssid=h38avi6fq80000001642664108782&qH=40eda27205ef2066
B08CY3N165,https://www.amazon.in/dp/B08CY3N165,https://www.flipkart.com/havells-rs7005-shaver-men/p/itm84b0cbad89bae?pid=SHVFUJZCUF5BEPSK&lid=LSTSHVFUJZCUF5BEPSK1AG4C9&marketplace=FLIPKART&q=Havells+RS7005&store=zlw%2F79s&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=b18aaac0-bc53-4349-a061-f52185c18245.SHVFUJZCUF5BEPSK.SEARCH&ppt=sp&ppn=sp&ssid=yazpat3ots0000001642664222060&qH=5459d871bf930f41
B08GZZJ57C,https://www.amazon.in/dp/B08GZZJ57C,https://www.flipkart.com/havells-digital-usb-quick-charge-bt9009-zoom-wheel-trimmer-runtime-120-min-men/p/itm9cba31ee6253e?pid=TMRG5ZRFF5Y8GKWB&lid=LSTTMRG5ZRFF5Y8GKWBKAJVAC&marketplace=FLIPKART&q=Havells+BT9009&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=694e986f-97a3-4a29-9ff8-5899ef332a1a.TMRG5ZRFF5Y8GKWB.SEARCH&ppt=sp&ppn=sp&ssid=a8nmr5oteo0000001642664389348&qH=c03712f657bd04e1
B07FTWS7QZ,https://www.amazon.in/dp/B07FTWS7QZ,https://www.flipkart.com/havells-hc4025-personal-care-appliance-combo/p/itmf8qpzzmucsuvn?pid=PABF8QHGUHZQ4XHQ&lid=LSTPABF8QHGUHZQ4XHQ1FFOJT&marketplace=FLIPKART&q=Havells+HC4025&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=5fd2fbbf-fd4c-4df6-89ee-28b2096ac761.PABF8QHGUHZQ4XHQ.SEARCH&ppt=sp&ppn=sp&ssid=dk9vnobrog0000001642664462700&qH=d0f6e77798fbda8b
B07GB9RH74,https://www.amazon.in/dp/B07GB9RH74,https://www.flipkart.com/havells-hd3201-hair-dryer/p/itmeqtf2gf53wsqa?pid=HDRFAWH4P53NXXPB&lid=LSTHDRFAWH4P53NXXPBX2FR89&marketplace=FLIPKART&q=Havells+HD3201&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=57629069-d6e0-4060-baf7-2e17909d5b14.HDRFAWH4P53NXXPB.SEARCH&ppt=sp&ppn=sp&ssid=yuolkwd1pc0000001642664504527&qH=1fd2cf6a60fa0777
B07G2L4W9G,https://www.amazon.in/dp/B07G2L4W9G,https://www.flipkart.com/havells-wide-plate-hs4121-hair-straightener/p/itmb62d34d7f58ac?pid=HSTF9X6UZCHCK4FH&lid=LSTHSTF9X6UZCHCK4FHTVSGEE&marketplace=FLIPKART&q=Havells+HS4121&store=zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=ec91de8c-a75e-474c-83a3-cd1f75c9842b.HSTF9X6UZCHCK4FH.SEARCH&ppt=sp&ppn=sp&ssid=jztkuf80wg0000001642664554244&qH=0cec1f44d6a9cd97
B08S4Y316C,https://www.amazon.in/dp/B08S4Y316C,https://www.flipkart.com/havells-hd2223-hair-dryer/p/itm4f166fe9880ff?pid=HDRG92X8ZVZSXWXH&lid=LSTHDRG92X8ZVZSXWXHFCAH4H&marketplace=FLIPKART&q=Havells+HD2223&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=b2db2079-941b-426a-9a5a-1d0bc4385c6a.HDRG92X8ZVZSXWXH.SEARCH&ppt=sp&ppn=sp&ssid=u9s47a4f9s0000001642664623448&qH=7d58519d7fd522ec
B075FT4XWG,https://www.amazon.in/dp/B075FT4XWG,https://www.flipkart.com/havells-hc4031-electric-hair-curler/p/itmexc33asuvasyb?pid=HSTEXAU7CYY9QZZS&lid=LSTHSTEXAU7CYY9QZZSLV3DSK&marketplace=FLIPKART&q=Havells+HC4031+&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=e239eebe-bb5b-419f-95f1-9905f1d3d2df.HSTEXAU7CYY9QZZS.SEARCH&ppt=sp&ppn=sp&ssid=71xkxhbsz40000001642664662053&qH=19d84499dfe7238b
B07GVXZVCV,https://www.amazon.in/dp/B07GVXZVCV,https://www.flipkart.com/havells-hs4152-hair-straightener/p/itm70163e58fc7b8?pid=HSTF8K8HVU8VNQKZ&lid=LSTHSTF8K8HVU8VNQKZKEJVOI&marketplace=FLIPKART&q=Havells+HS4152&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=12c98551-76bd-4de9-9873-d5c2e8e1ba2a.HSTF8K8HVU8VNQKZ.SEARCH&ppt=sp&ppn=sp&ssid=klyux8sie80000001642664796728&qH=d436ceb3dc2480b6
B08PZPDR8Z,https://www.amazon.in/dp/B08PZPDR8Z,https://www.flipkart.com/havells-fd5002-runtime-90-mins-grooming-kit-men-women/p/itm92e5b90f9cdeb?pid=TMRG3696534FP9ZB&lid=LSTTMRG3696534FP9ZBUKEYVY&marketplace=FLIPKART&q=Havells+FD5002&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=f9b4ca7c-9db6-4c83-8661-fea39e961840.TMRG3696534FP9ZB.SEARCH&ppt=sp&ppn=sp&ssid=ln9cpwf3ds0000001642664852338&qH=8761b39e0994875b
B07G2SL1QB,https://www.amazon.in/dp/B07G2SL1QB,https://www.flipkart.com/havells-gs6451-runtime-90-min-trimmer-men/p/itmbb5ef623b7d65?pid=TMRFS2B4EZHXC6YM&lid=LSTTMRFS2B4EZHXC6YMF6BZH4&marketplace=FLIPKART&q=Havells+GS6451&store=zlw%2F79s&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=dea5bc7c-9268-4c51-9451-e857952778c4.TMRFS2B4EZHXC6YM.SEARCH&ppt=sp&ppn=sp&ssid=27loy10gf40000001642664914262&qH=47492d03afb40a4a
B08PZTBGGW,https://www.amazon.in/dp/B08PZTBGGW,https://www.flipkart.com/havells-sc5065-multifunction-skin-care-device-cleaning-massaging-reduces-pigmentation-restores-elasticity-fast-charge-facial-cleanser-system-brush/p/itm007b56d64bac3?pid=EFSGA2BA2S3GFGYV&lid=LSTEFSGA2BA2S3GFGYVJ6BJIB&marketplace=FLIPKART&q=Havells+SC5065&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=48d7e9c0-766e-4226-9a07-1eb7f25a7451.EFSGA2BA2S3GFGYV.SEARCH&ppt=sp&ppn=sp&ssid=garjf1fntc0000001642664968510&qH=0043d9ec399f0ab6
B08PZN5VHV,https://www.amazon.in/dp/B08PZN5VHV,https://www.flipkart.com/havells-pore-cleanser-sc5060-blackhead-whitehead-remover-3-suction-modes-low-medium-high-fast-charge-facial-system-brush/p/itmfdc58f9426429?pid=EFSGAY43Y9GM8BGG&lid=LSTEFSGAY43Y9GM8BGGJNM034&marketplace=FLIPKART&q=Havells+SC5060&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=1a9b6057-824f-48ec-b7ff-fbd31f8c8c12.EFSGAY43Y9GM8BGG.SEARCH&ppt=sp&ppn=sp&ssid=enebpwoiqo0000001642665067528&qH=361d51ec6d217864
B08PZPJW59,https://www.amazon.in/dp/B08PZPJW59,https://www.flipkart.com/havells-sc5070-facial-cleanser-3-heads-exfoliation-cleaning-iontophoresis-smart-alert-assist-usage-rechargeable-pink-cleanser-system-brush/p/itm657a387fd31c2?pid=EFSGAYYAHVAVZYNS&lid=LSTEFSGAYYAHVAVZYNSUBPJLH&marketplace=FLIPKART&q=Havells+SC5070&store=search.flipkart.com&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=659b4e3c-e116-4412-a305-2a99a3ee9013.EFSGAYYAHVAVZYNS.SEARCH&ppt=sp&ppn=sp&ssid=h3updt1mz40000001642665153145&qH=93c27e931892cd51
B0123G8CZ8,https://www.amazon.in/dp/B0123G8CZ8,https://www.flipkart.com/nova-nhp-8100-hair-dryer/p/itm985b1f3c8f641?pid=HDRE7XH6KNNVWYVP&lid=LSTHDRE7XH6KNNVWYVPYRSM0A&marketplace=FLIPKART&q=Nova+NHP+8100&store=zlw%2F79s%2Fmh8&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=13a3be03-77e9-4531-b858-784d81078fda.HDRE7XH6KNNVWYVP.SEARCH&ppt=sp&ppn=sp&ssid=ygjorfhy9s0000001642665249069&qH=3904d6df932f26d8
B08BXGNK36,https://www.amazon.in/dp/B08BXGNK36,https://www.flipkart.com/nova-nhp-8105-hair-dryer/p/itm985b1f3c8f641?pid=HDRF6JY9QUKVTNNF&lid=LSTHDRF6JY9QUKVTNNFAL4EDQ&marketplace=FLIPKART&q=Nova+NHP+8105&store=zlw%2F79s%2Fmh8&spotlightTagId=BestsellerId_zlw%2F79s%2Fmh8&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=d9d01b39-d07c-4d3d-b807-8628bf347b71.HDRF6JY9QUKVTNNF.SEARCH&ppt=sp&ppn=sp&ssid=k3r4sb8mhs0000001642665324276&qH=a571a1af05c80b48
B081Q9XPBG,https://www.amazon.in/dp/B081Q9XPBG,https://www.flipkart.com/nova-nhp-8203-hair-dryer/p/itmea45d1a696006?pid=HDRFH8YH6P7MURJX&lid=LSTHDRFH8YH6P7MURJX7DLCHR&marketplace=FLIPKART&q=Nova+NHP+8203&store=zlw%2F79s%2Fmh8&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=819e485a-4f69-4542-98c6-a7c475760a50.HDRFH8YH6P7MURJX.SEARCH&ppt=sp&ppn=sp&ssid=lfgh4hcqxc0000001642665440768&qH=9389f0e783cd27f9
B083F853KB,https://www.amazon.in/dp/B083F853KB,https://www.flipkart.com/nova-nhp-8220-hair-dryer/p/itm38fb158144bdb?pid=HDRFMVRDN6AGHNMT&lid=LSTHDRFMVRDN6AGHNMTFNKHF7&marketplace=FLIPKART&q=Nova+NHP+8220&store=zlw%2F79s%2Fmh8&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=0e6c5902-7db9-4d70-a66e-20e326e5909e.HDRFMVRDN6AGHNMT.SEARCH&ppt=sp&ppn=sp&ssid=1cil3wxmls0000001642665487400&qH=02589b021c036e53
B07TWQCX7F,https://www.amazon.in/dp/B07TWQCX7F,
B01LXWL0P7,https://www.amazon.in/dp/B01LXWL0P7,https://www.flipkart.com/nova-temperature-control-professional-nhs-860-hair-straightener/p/itmdf643c118c633?pid=HSTEHUTBEHYQ6Z8F&lid=LSTHSTEHUTBEHYQ6Z8FJPAGWK&marketplace=FLIPKART&q=Nova+NHS+860&store=zlw%2F79s%2Fdk5&spotlightTagId=BestsellerId_zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=bcf0fd3e-3ab4-4e73-b86b-726eac3d80d1.HSTEHUTBEHYQ6Z8F.SEARCH&ppt=sp&ppn=sp&ssid=315yzx95q80000001642665702209&qH=f39e6a63bfdc4f7b
B07F8P8LLJ,https://www.amazon.in/dp/B07F8P8LLJ,https://www.flipkart.com/nova-pro-shine-nhs-840-hair-straightener/p/itm33ba324215d43?pid=HSTF77GPGHA2J63X&lid=LSTHSTF77GPGHA2J63X0IOAZN&marketplace=FLIPKART&q=Nova+NHS+-+840&store=zlw%2F79s%2Fdk5&spotlightTagId=BestsellerId_zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=85bddb0b-cbcd-4e3b-b7b2-5b9e6b842139.HSTF77GPGHA2J63X.SEARCH&ppt=sp&ppn=sp&ssid=u2razpab5s0000001642666228679&qH=d303f2ad40a8687f
B0744LYGHS,https://www.amazon.in/dp/B0744LYGHS,
B0744LYGHR,https://www.amazon.in/dp/B0744LYGHR,https://www.flipkart.com/nova-temperature-control-professional-nhs-900-hair-straightener/p/itmc0aca2daf13eb?pid=HSTEWTUG5S2KYZ7Q&lid=LSTHSTEWTUG5S2KYZ7QUWFQUN&marketplace=FLIPKART&q=Nova+NHS-900&store=zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=942a40cb-3ffd-4b38-86e4-6f14c972ac2f.HSTEWTUG5S2KYZ7Q.SEARCH&ppt=sp&ppn=sp&ssid=vgi2rsyi3k0000001642666485960&qH=6e33110b5aaf8b0c
B07JM1KBJG,https://www.amazon.in/dp/B07JM1KBJG,https://www.flipkart.com/nova-infrared-nhs-890-extra-wide-plate-hair-straightener/p/itm5c5abab50e14e?pid=HSTFDYTCZVEMMQ4W&lid=LSTHSTFDYTCZVEMMQ4W7UKSUQ&marketplace=FLIPKART&q=Nova+Temperature+Control+Professional+NHS+890+Hair+Straightener+%28Black%29&store=zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=f96134d6-f277-4917-9119-a9d9297b5715.HSTFDYTCZVEMMQ4W.SEARCH&ppt=sp&ppn=sp&ssid=58lev9efpc0000001642666629494&qH=ddf1de1303b570d7
B07JLNP79F,https://www.amazon.in/dp/B07JLNP79F,https://www.flipkart.com/nova-nhs-889-hair-straightener/p/itmede235bb46551?pid=HSTFCYPYYHFZYYGY&lid=LSTHSTFCYPYYHFZYYGYH2BL4F&marketplace=FLIPKART&q=Nova+Nhs+889&store=zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=c467ff89-8434-474d-b280-dd06a889dafb.HSTFCYPYYHFZYYGY.SEARCH&ppt=sp&ppn=sp&ssid=yfrfcse2n40000001642666751012&qH=812c5b7c73d7b1fc
B07HCLSDBZ,https://www.amazon.in/dp/B07HCLSDBZ,
B085MMMGYK,https://www.amazon.in/dp/B085MMMGYK,https://www.flipkart.com/nova-digital-display-kerasilk-2-1-straight-curl-nhs-851-hair-straightener/p/itmf98ff47c103b3?pid=HSTFZAPVTTGZ4YKH&lid=LSTHSTFZAPVTTGZ4YKHHBQJIU&marketplace=FLIPKART&q=Nova+NHS+851&store=zlw%2F79s%2Fdk5&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=c3e1ff7b-3ee2-45b1-b384-2c28046b96f0.HSTFZAPVTTGZ4YKH.SEARCH&ppt=sp&ppn=sp&ssid=60o4pmg51s0000001642667227155&qH=8e6c531be7b59f88
B08BXGF4GG,https://www.amazon.in/dp/B08BXGF4GG,
B073RGFFVL,https://www.amazon.in/dp/B073RGFFVL,https://www.flipkart.com/nova-nls-530-sensi-trim-touch-runtime-45-min-trimmer-women/p/itm4d67f80f37d6f?pid=TMRF9ET6HJXCF58W&lid=LSTTMRF9ET6HJXCF58WDSQJ5D&marketplace=FLIPKART&q=Nova+NLS+530&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=5ba94ae5-ea74-4395-b52e-45aa7b75ee3e.TMRF9ET6HJXCF58W.SEARCH&ppt=sp&ppn=sp&ssid=z7mrvoizls0000001642667595319&qH=6fb59e27d7010a24
B08G4VJCNH,https://www.amazon.in/dp/B08G4VJCNH,
B08BXGBGVY,https://www.amazon.in/dp/B08BXGBGVY,https://www.flipkart.com/nova-nls-532-facial-sensi-trim-touch-runtime-60-min-trimmer-women/p/itm99d5622a21c3a?pid=TMRFTZ8GAQSRFJX4&lid=LSTTMRFTZ8GAQSRFJX4JNHGEO&marketplace=FLIPKART&q=Nova+NLS+532&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=7ee1e2df-881a-44c8-b312-f878f5499384.TMRFTZ8GAQSRFJX4.SEARCH&ppt=sp&ppn=sp&ssid=f54ydssy5c0000001642667819611&qH=2980cff4c122cfff
B08BXGVSWT,https://www.amazon.in/dp/B08BXGVSWT,https://www.flipkart.com/nova-nls-533-facial-sensi-trim-touch-runtime-60-min-trimmer-women/p/itm782f2a61728af?pid=TMRFTZ8PHPMUU7CF&lid=LSTTMRFTZ8PHPMUU7CFOTXJI5&marketplace=FLIPKART&q=Nova+NLS+533&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=92b80d9f-e304-48a2-a147-7ad69f27bd2a.TMRFTZ8PHPMUU7CF.SEARCH&ppt=sp&ppn=sp&ssid=vu6jia0d280000001642667950643&qH=6d914e11924f79f9
B08M6PPRV3,https://www.amazon.in/dp/B08M6PPRV3,https://www.flipkart.com/vega-vhth-16-runtime-90-mins-trimmer-men/p/itma73e8b15bd7b6?pid=TMRG22EWGFGHSVVA&lid=LSTTMRG22EWGFGHSVVAL2FJ9T&marketplace=FLIPKART&q=VHTH-16&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=5376db96-3be4-4bc8-b6af-9bf7ef7fe643.TMRG22EWGFGHSVVA.SEARCH&ppt=sp&ppn=sp&ssid=oap2jo4m680000001642668445722&qH=e0e4677cab633404
B09G365969,https://www.amazon.in/dp/B09G365969,https://www.flipkart.com/vega-men-x3-beard-trimmer-quick-charge-90-mins-run-time-waterproof-cord-cordless-use-40-length-settings-vhth-24-runtime-min/p/itm61634d6dc0549?pid=TMRG6TN9VMTTDGF3&lid=LSTTMRG6TN9VMTTDGF3NR8DMV&marketplace=FLIPKART&q=VEGA+Men+X3+Beard+Trimmer&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=a4dcbbca-23f1-4430-8655-365626bff58c.TMRG6TN9VMTTDGF3.SEARCH&ppt=sp&ppn=sp&ssid=nu4j5rvu4g0000001642668143993&qH=d3c8e7d13df3c927
B08M6WN6L4,https://www.amazon.in/dp/B08M6WN6L4,https://www.flipkart.com/vega-vhth-17-runtime-90-mins-trimmer-men/p/itmed9f2bdea3b03?pid=TMRG22EWSYXAPDWX&lid=LSTTMRG22EWSYXAPDWXGGZLEE&marketplace=FLIPKART&q=VEGA+Men+X2+Beard+Trimmer&store=zlw%2F79s%2Fby3&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=e4d28704-6fc0-403b-ac2d-595eaa281bbc.TMRG22EWSYXAPDWX.SEARCH&ppt=sp&ppn=sp&ssid=dl65evjiv40000001642668202946&qH=030ff6cedecc1d48
B08BQ18P3S,https://www.amazon.in/dp/B08BQ18P3S,https://www.flipkart.com/vega-vhth-19-runtime-90-min-trimmer-men/p/itmb312d09d9edf6?pid=TMRFXM8TRDWGGJJX&lid=LSTTMRFXM8TRDWGGJJXEF0U63&marketplace=FLIPKART&q=VHTH-19&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=29bf0a21-3a78-4edd-b733-17f38ff4d1ab.TMRFXM8TRDWGGJJX.SEARCH&ppt=sp&ppn=sp&ssid=dgeq00ykb40000001642668408390&qH=a8b8f1283e305a02
B09DMM7L3J,https://www.amazon.in/dp/B09DMM7L3J,https://www.flipkart.com/vega-men-10-in-1-ezy-multi-grooming-set-beard-hair-trimmer-nose-trimmer-body-groomer-shaver-vhth-22-runtime-80-min/p/itm5eab86bf6b87a?pid=TMRG69FMSG5QQHMJ&lid=LSTTMRG69FMSG5QQHMJYAZVV3&marketplace=FLIPKART&q=VHTH-22&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=9091b64f-bcdc-41a1-8080-f49e5f85b700.TMRG69FMSG5QQHMJ.SEARCH&ppt=sp&ppn=sp&ssid=fooshiy2hs0000001642668482488&qH=16f1aaca42e533aa
B09DMMZXZM,https://www.amazon.in/dp/B09DMMZXZM,https://www.flipkart.com/vega-men-9-in-1-multi-grooming-set-beard-hair-trimmer-nose-trimmer-body-groomer-shaver-vhth-21-runtime-80-min/p/itm4b7fad66b0eed?pid=TMRG69FMHKHFKPWQ&lid=LSTTMRG69FMHKHFKPWQ6JCMVB&marketplace=FLIPKART&q=VHTH-21&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=f862f625-0ee6-4fbb-9553-8263ce645c1c.TMRG69FMHKHFKPWQ.SEARCH&ppt=sp&ppn=sp&ssid=1fef73th800000001642668652660&qH=d49ea096c8e88b9a
B00FWK5FPS,https://www.amazon.in/dp/B00FWK5FPS,
B08BPW8Y25,https://www.amazon.in/dp/B08BPW8Y25,https://www.flipkart.com/vega-t-1-runtime-40-min-trimmer-men/p/itmde3d7aa5d7c70?pid=TMRFVFREY8YRHGKA&lid=LSTTMRFVFREY8YRHGKAGGOGSG&marketplace=FLIPKART&q=Vega+Men+T1&store=zlw%2F79s%2Fby3&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=a1f3e351-496c-47b6-a641-4d7cf8603058.TMRFVFREY8YRHGKA.SEARCH&ppt=sp&ppn=sp&ssid=zglnq6l9qo0000001642669154935&qH=7177cecea3587ac2
